產品編號,品牌,種類,產品名稱,產品系列,簡稱
PD000000342,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Right) ""M""",Bort #103500 Thumb/Hand Orthosis (Right),"Bort #103500 Thumb/Hand Orthosis (Right) ""M"""
PD000000343,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Right) ""L""",Bort #103500 Thumb/Hand Orthosis (Right),"Bort #103500 Thumb/Hand Orthosis (Right) ""L"""
PD000000344,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Right) ""XL""",Bort #103500 Thumb/Hand Orthosis (Right),"Bort #103500 Thumb/Hand Orthosis (Right) ""XL"""
PD000000345,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Right) ""XXL""",Bort #103500 Thumb/Hand Orthosis (Right),"Bort #103500 Thumb/Hand Orthosis (Right) ""XXL"""
PD000000346,Bort,Foot,"Bort #470620 Splint Peroneal""L""Right",Bort #470620 Splint Peroneal Right,"Bort #470620 Splint Peroneal""L""Right"
PD000000347,Listra,Children Insole,"Listra Two-Layer Children Insole "" 25 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 25 """
PD000000348,Listra,Children Insole,"Listra Two-Layer Children Insole "" 26 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 26 """
PD000000349,Listra,Children Insole,"Listra Two-Layer Children Insole "" 27 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 27 """
PD000000350,Listra,Children Insole,"Listra Two-Layer Children Insole "" 28 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 28 """
PD000000351,Listra,Children Insole,"Listra Two-Layer Children Insole "" 29 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 29 """
PD000000352,Listra,Children Insole,"Listra Two-Layer Children Insole "" 30 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 30 """
PD000000353,Listra,Children Insole,"Listra Two-Layer Children Insole "" 31 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 31 """
PD000000354,Listra,Children Insole,"Listra Two-Layer Children Insole "" 32 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 32 """
PD000000355,Listra,Children Insole,"Listra Two-Layer Children Insole "" 33 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 33 """
PD000000356,Listra,Children Insole,"Listra Two-Layer Children Insole "" 34 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 34 """
PD000000357,Listra,Children Insole,"Listra Two-Layer Children Insole "" 35 """,Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole "" 35 """
PD000000358,Listra,Cushion,Listra Silicon Cushion #11071 (40 x 40 cm),Listra Silicon Cushion,Listra Silicon Cushion #11071 (40 x 40 cm)
PD000000359,Listra,Cushion,Listra Silicon Cushion (58 x 38 cm),Listra Silicon Cushion ,Listra Silicon Cushion (58 x 38 cm)
PD000000360,Boso,Blood Pressure Meter,Boso Medius Memory,Boso Medius Memory,Boso Medius Memory
PD000000361,Boso,Blood Pressure Meter,Boso Medifit,Boso Medifit,Boso Medifit
PD000000362,Boso,Blood Pressure Meter,Boso Egotest,Boso Egotest,Boso Egotest
PD000000363,Boso,Blood Pressure Meter,Boso Clinicus I,Boso Clinicus I,Boso Clinicus I
PD000000364,Boso,Blood Pressure Meter,Boso Privat-Automatic,Boso Privat-Automatic,Boso Privat-Automatic
PD000000365,Boso,Medical Machine,Boso #1100 Heating Pad,Boso #1100 Heating Pad,Boso #1100 Heating Pad
PD000000366,Boso,Massage machine,Boso #1300 Heating Pad for the Neck and Spine,Boso #1300 Heating Pad,Boso #1300 Heating Pad for the Neck and Spine
PD000000367,Boso,Medical Machine,Boso #2100 Underblanket,Boso #2100 Underblanket,Boso #2100 Underblanket
PD000000368,Boso,Medical Machine,Boso #3000 Foot Warmer,Boso #3000 Foot Warmer,Boso #3000 Foot Warmer
PD000000369,Boso,Medical Machine,Boso #4000 Infrared Lamp,Boso #4000 Infrared Lamp,Boso #4000 Infrared Lamp
PD000000370,Boso,Cushion,Boso Silicon Gel Cushion,Boso Silicon Gel Cushion,Boso Silicon Gel Cushion
PD000000371,Boso,Cushion,Boso Sandwich Cushion,Boso Sandwich Cushion,Boso Sandwich Cushion
PD000000372,Boso,Blood Pressure Meter,Boso Medistar S,Boso Medistar S,Boso Medistar S
PD000000373,Boso,Optional Part,Boso Cuff,Boso Cuff,Boso Cuff
PD000000374,Boso,Blood Pressure Meter,Boso Infrarot Stirn-Thermometer,Boso Infrarot Stirn-Thermometer,Boso Infrarot Stirn-Thermometer
PD000000375,BGT,HC Pantyhose,"BGT HC Pantyhose Lido ""S""",BGT HC Pantyhose Lido,"BGT HC Pantyhose Lido ""S"""
PD000000376,BGT,HC Pantyhose,"BGT HC Pantyhose Lido ""M""",BGT HC Pantyhose Lido,"BGT HC Pantyhose Lido ""M"""
PD000000377,BGT,HC Pantyhose,"BGT HC Pantyhose Lido ""L""",BGT HC Pantyhose Lido,"BGT HC Pantyhose Lido ""L"""
PD000000378,BGT,HC Pantyhose,"BGT HC Pantyhose Lido ""XL""",BGT HC Pantyhose Lido,"BGT HC Pantyhose Lido ""XL"""
PD000000379,BGT,HC Pantyhose,"BGT HC Pantyhose Black ""S""",BGT HC Pantyhose Black,"BGT HC Pantyhose Black ""S"""
PD000000380,BGT,HC Pantyhose,"BGT HC Pantyhose Black ""M""",BGT HC Pantyhose Black,"BGT HC Pantyhose Black ""M"""
PD000000381,BGT,HC Pantyhose,"BGT HC Pantyhose Black ""L""",BGT HC Pantyhose Black,"BGT HC Pantyhose Black ""L"""
PD000000382,BGT,HC Pantyhose,"BGT HC Pantyhose Black ""XL""",BGT HC Pantyhose Black,"BGT HC Pantyhose Black ""XL"""
PD000000383,BGT,NC Pantyhose,"BGT NC Pantyhose Lido ""S""",BGT NC Pantyhose Lido,"BGT NC Pantyhose Lido ""S"""
PD000000384,BGT,NC Pantyhose,"BGT NC Pantyhose Lido ""M""",BGT NC Pantyhose Lido,"BGT NC Pantyhose Lido ""M"""
PD000000385,BGT,NC Pantyhose,"BGT NC Pantyhose Lido ""L""",BGT NC Pantyhose Lido,"BGT NC Pantyhose Lido ""L"""
PD000000386,BGT,NC Pantyhose,"BGT NC Pantyhose Lido ""XL""",BGT NC Pantyhose Lido,"BGT NC Pantyhose Lido ""XL"""
PD000000387,BGT,NC Pantyhose,"BGT NC Pantyhose Black ""S""",BGT NC Pantyhose Black,"BGT NC Pantyhose Black ""S"""
PD000000388,BGT,NC Pantyhose,"BGT NC Pantyhose Black ""M""",BGT NC Pantyhose Black,"BGT NC Pantyhose Black ""M"""
PD000000389,BGT,NC Pantyhose,"BGT NC Pantyhose Black ""L""",BGT NC Pantyhose Black,"BGT NC Pantyhose Black ""L"""
PD000000390,BGT,NC Pantyhose,"BGT NC Pantyhose Black ""XL""",BGT NC Pantyhose Black,"BGT NC Pantyhose Black ""XL"""
PD000000391,BGT,LC Pantyhose,"BGT LC Pantyhose Lido ""S""",BGT LC Pantyhose Lido ,"BGT LC Pantyhose Lido ""S"""
PD000000392,BGT,LC Pantyhose,"BGT LC Pantyhose Lido ""M""",BGT LC Pantyhose Lido ,"BGT LC Pantyhose Lido ""M"""
PD000000393,BGT,LC Pantyhose,"BGT LC Pantyhose Lido ""L""",BGT LC Pantyhose Lido ,"BGT LC Pantyhose Lido ""L"""
PD000000394,BGT,LC Pantyhose,"BGT LC Pantyhose Lido ""XL""",BGT LC Pantyhose Lido ,"BGT LC Pantyhose Lido ""XL"""
PD000000395,BGT,Short Stocking,"BGT HC Short Stocking Lido ""S""",BGT HC Short Stocking Lido,"BGT HC Short Stocking Lido ""S"""
PD000000396,BGT,Short Stocking,"BGT HC Short Stocking Lido ""M""",BGT HC Short Stocking Lido,"BGT HC Short Stocking Lido ""M"""
PD000000397,BGT,Short Stocking,"BGT HC Short Stocking Lido ""L""",BGT HC Short Stocking Lido,"BGT HC Short Stocking Lido ""L"""
PD000000398,BGT,Short Stocking,"BGT HC Short Stocking Lido ""XL""",BGT HC Short Stocking Lido,"BGT HC Short Stocking Lido ""XL"""
PD000000399,BGT,Short Stocking,"BGT HC Short Stocking Black ""S""",BGT HC Short Stocking Black,"BGT HC Short Stocking Black ""S"""
PD000000400,BGT,Short Stocking,"BGT HC Short Stocking Black ""M""",BGT HC Short Stocking Black,"BGT HC Short Stocking Black ""M"""
PD000000401,BGT,Short Stocking,"BGT HC Short Stocking Black ""L""",BGT HC Short Stocking Black,"BGT HC Short Stocking Black ""L"""
PD000000402,BGT,Short Stocking,"BGT HC Short Stocking Black ""XL""",BGT HC Short Stocking Black,"BGT HC Short Stocking Black ""XL"""
PD000000403,BGT,Short Stocking,"BGT NC Short Stocking Lido ""S""",BGT NC Short Stocking Lido,"BGT NC Short Stocking Lido ""S"""
PD000000404,BGT,Short Stocking,"BGT NC Short Stocking Lido ""M""",BGT NC Short Stocking Lido,"BGT NC Short Stocking Lido ""M"""
PD000000405,BGT,Short Stocking,"BGT NC Short Stocking Lido ""L""",BGT NC Short Stocking Lido,"BGT NC Short Stocking Lido ""L"""
PD000000406,BGT,Short Stocking,"BGT NC Short Stocking Lido ""XL""",BGT NC Short Stocking Lido,"BGT NC Short Stocking Lido ""XL"""
PD000000407,BGT,Short Stocking,"BGT NC Short Stocking Black ""S""",BGT NC Short Stocking Black,"BGT NC Short Stocking Black ""S"""
PD000000408,BGT,Short Stocking,"BGT NC Short Stocking Black ""M""",BGT NC Short Stocking Black,"BGT NC Short Stocking Black ""M"""
PD000000409,BGT,Short Stocking,"BGT NC Short Stocking Black ""L""",BGT NC Short Stocking Black,"BGT NC Short Stocking Black ""L"""
PD000000410,BGT,Short Stocking,"BGT NC Short Stocking Black ""XL""",BGT NC Short Stocking Black,"BGT NC Short Stocking Black ""XL"""
PD000000411,BGT,Short Stocking,"BGT HC Short for Men Black ""S""",BGT HC Short for Men Blac,"BGT HC Short for Men Black ""S"""
PD000000412,BGT,Short Stocking,"BGT HC Short for Men Black ""M""",BGT HC Short for Men Blac,"BGT HC Short for Men Black ""M"""
PD000000413,BGT,Short Stocking,"BGT HC Short for Men Black ""L""",BGT HC Short for Men Blac,"BGT HC Short for Men Black ""L"""
PD000000414,BGT,Short Stocking,"BGT HC Short for Men Black ""XL""",BGT HC Short for Men Blac,"BGT HC Short for Men Black ""XL"""
PD000000415,BGT,Flight sock,"BGT Flight Socks Lido ""S""",BGT Flight Socks Lido,"BGT Flight Socks Lido ""S"""
PD000000416,BGT,Flight sock,"BGT Flight Socks Lido ""M""",BGT Flight Socks Lido,"BGT Flight Socks Lido ""M"""
PD000000417,BGT,Flight sock,"BGT Flight Socks Lido ""L""",BGT Flight Socks Lido,"BGT Flight Socks Lido ""L"""
PD000000418,BGT,Flight sock,"BGT Flight Socks Lido ""XL""",BGT Flight Socks Lido,"BGT Flight Socks Lido ""XL"""
PD000000419,BGT,Flight sock,"BGT Flight Socks Black ""S""",BGT Flight Socks Black,"BGT Flight Socks Black ""S"""
PD000000420,BGT,Flight sock,"BGT Flight Socks Black ""M""",BGT Flight Socks Black,"BGT Flight Socks Black ""M"""
PD000000421,BGT,Flight sock,"BGT Flight Socks Black ""L""",BGT Flight Socks Black,"BGT Flight Socks Black ""L"""
PD000000422,BGT,Flight sock,"BGT Flight Socks Black ""XL""",BGT Flight Socks Black,"BGT Flight Socks Black ""XL"""
PD000000423,BGT,Flight sock,"BGT Flight Socks Navy ""S""",BGT Flight Socks Navy,"BGT Flight Socks Navy ""S"""
PD000000424,BGT,Flight sock,"BGT Flight Socks Navy ""M""",BGT Flight Socks Navy,"BGT Flight Socks Navy ""M"""
PD000000425,BGT,Flight sock,"BGT Flight Socks Navy ""L""",BGT Flight Socks Navy,"BGT Flight Socks Navy ""L"""
PD000000426,BGT,Flight sock,"BGT Flight Socks Navy ""XL""",BGT Flight Socks Navy,"BGT Flight Socks Navy ""XL"""
PD000000427,BGT,HC Pantyhose,"BGT Topwish HC Pantyhose Lido ""S""",BGT Topwish HC Pantyhose Lido,"BGT Topwish HC Pantyhose Lido ""S"""
PD000000428,BGT,HC Pantyhose,"BGT Topwish HC Pantyhose Lido ""M""",BGT Topwish HC Pantyhose Lido,"BGT Topwish HC Pantyhose Lido ""M"""
PD000000429,BGT,HC Pantyhose,"BGT Topwish HC Pantyhose Lido ""L""",BGT Topwish HC Pantyhose Lido,"BGT Topwish HC Pantyhose Lido ""L"""
PD000000430,BGT,Ankle,"BGT Ankle Support ""S""",BGT Ankle Support,"BGT Ankle Support ""S"""
PD000000431,BGT,Ankle,"BGT Ankle Support ""M""",BGT Ankle Support,"BGT Ankle Support ""M"""
PD000000432,BGT,Ankle,"BGT Ankle Support ""L""",BGT Ankle Support,"BGT Ankle Support ""L"""
PD000000433,BGT,Ankle,"BGT Ankle Support ""XL""",BGT Ankle Support,"BGT Ankle Support ""XL"""
PD000000434,BGT,Elbow,"BGT Elbow Support ""S""",BGT Elbow Support,"BGT Elbow Support ""S"""
PD000000435,BGT,Elbow,"BGT Elbow Support ""M""",BGT Elbow Support,"BGT Elbow Support ""M"""
PD000000436,BGT,Elbow,"BGT Elbow Support ""L""",BGT Elbow Support,"BGT Elbow Support ""L"""
PD000000437,BGT,Elbow,"BGT Elbow Support ""XL""",BGT Elbow Support,"BGT Elbow Support ""XL"""
PD000000438,BGT,Knee,"BGT Knee Support w/Patella ""S""",BGT Knee Support w/Patella,"BGT Knee Support w/Patella ""S"""
PD000000439,BGT,Knee,"BGT Knee Support w/Patella ""M""",BGT Knee Support w/Patella,"BGT Knee Support w/Patella ""M"""
PD000000440,BGT,Knee,"BGT Knee Support w/Patella ""L""",BGT Knee Support w/Patella,"BGT Knee Support w/Patella ""L"""
PD000000441,BGT,Knee,"BGT Knee Support w/Patella ""XL""",BGT Knee Support w/Patella,"BGT Knee Support w/Patella ""XL"""
PD000000442,BGT,Wrist,"BGT Wrist Support ""S""",BGT Wrist Support,"BGT Wrist Support ""S"""
PD000000443,BGT,Wrist,"BGT Wrist Support ""M""",BGT Wrist Support,"BGT Wrist Support ""M"""
PD000000444,BGT,Wrist,"BGT Wrist Support ""L""",BGT Wrist Support,"BGT Wrist Support ""L"""
PD000000445,BGT,Wrist,"BGT Wrist Support ""XL""",BGT Wrist Support,"BGT Wrist Support ""XL"""
PD000000446,BGT,Long stocking,"BGT NC Long Stocking w/Lace Lido ""S""",BGT NC Long Stocking w/Lace Lido,"BGT NC Long Stocking w/Lace Lido ""S"""
PD000000447,BGT,Long stocking,"BGT NC Long Stocking w/Lace Lido ""M""",BGT NC Long Stocking w/Lace Lido,"BGT NC Long Stocking w/Lace Lido ""M"""
PD000000448,BGT,Long stocking,"BGT NC Long Stocking w/Lace Lido ""L""",BGT NC Long Stocking w/Lace Lido,"BGT NC Long Stocking w/Lace Lido ""L"""
PD000000449,BGT,Long stocking,"BGT NC Long Stocking w/Lace Lido ""XL""",BGT NC Long Stocking w/Lace Lido,"BGT NC Long Stocking w/Lace Lido ""XL"""
PD000000450,BGT,Long stocking,"BGT NC Long Stocking w/Lace White ""S""",BGT NC Long Stocking w/Lace White,"BGT NC Long Stocking w/Lace White ""S"""
PD000000451,BGT,Long stocking,"BGT NC Long Stocking w/Lace White ""M""",BGT NC Long Stocking w/Lace White,"BGT NC Long Stocking w/Lace White ""M"""
PD000000452,BGT,Long stocking,"BGT NC Long Stocking w/Lace White ""L""",BGT NC Long Stocking w/Lace White,"BGT NC Long Stocking w/Lace White ""L"""
PD000000453,BGT,Long stocking,"BGT NC Long Stocking w/Lace White ""XL""",BGT NC Long Stocking w/Lace White,"BGT NC Long Stocking w/Lace White ""XL"""
PD000000454,BGT,Long stocking,"BGT LC Long Stocking Marrone ""L""",BGT LC Long Stocking Marrone,"BGT LC Long Stocking Marrone ""L"""
PD000000455,BGT,Long stocking,"BGT NC Long Stocking w/Lace White ""XL""",BGT NC Long Stocking w/Lace White,"BGT NC Long Stocking w/Lace White ""XL"""
PD000000456,BGT,Short Stocking,"BGT NC Short Stocking White ""S""",BGT NC Short Stocking White,"BGT NC Short Stocking White ""S"""
PD000000457,BGT,Short Stocking,"BGT NC Short Stocking White ""M""",BGT NC Short Stocking White,"BGT NC Short Stocking White ""M"""
PD000000458,BGT,Short Stocking,"BGT NC Short Stocking White ""L""",BGT NC Short Stocking White,"BGT NC Short Stocking White ""L"""
PD000000459,BGT,Short Stocking,"BGT NC Short Stocking White ""XL""",BGT NC Short Stocking White,"BGT NC Short Stocking White ""XL"""
PD000000460,BGT,Long stocking,"BGT HC Long Stocking Lido ""S""",BGT HC Long Stocking Lido,"BGT HC Long Stocking Lido ""S"""
PD000000461,BGT,Long stocking,"BGT HC Long Stocking Lido ""M""",BGT HC Long Stocking Lido,"BGT HC Long Stocking Lido ""M"""
PD000000462,BGT,Long stocking,"BGT HC Long Stocking Lido ""L""",BGT HC Long Stocking Lido,"BGT HC Long Stocking Lido ""L"""
PD000000463,BGT,Long stocking,"BGT HC Long Stocking Lido ""XL""",BGT HC Long Stocking Lido,"BGT HC Long Stocking Lido ""XL"""
PD000000464,BGT,Long stocking,"BGT NC Long Stocking Lido ""S""",BGT NC Long Stocking Lido,"BGT NC Long Stocking Lido ""S"""
PD000000465,BGT,Long stocking,"BGT NC Long Stocking Lido ""M""",BGT NC Long Stocking Lido,"BGT NC Long Stocking Lido ""M"""
PD000000466,BGT,Long stocking,"BGT NC Long Stocking Lido ""L""",BGT NC Long Stocking Lido,"BGT NC Long Stocking Lido ""L"""
PD000000467,BGT,Long stocking,"BGT NC Long Stocking Lido ""XL""",BGT NC Long Stocking Lido,"BGT NC Long Stocking Lido ""XL"""
PD000000468,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Lido ""S""",BGT LC Organic Pantyhose Lido,"BGT LC Organic Pantyhose Lido ""S"""
PD000000469,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Lido ""M""",BGT LC Organic Pantyhose Lido,"BGT LC Organic Pantyhose Lido ""M"""
PD000000470,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Lido ""L""",BGT LC Organic Pantyhose Lido,"BGT LC Organic Pantyhose Lido ""L"""
PD000000471,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Lido ""XL""",BGT LC Organic Pantyhose Lido,"BGT LC Organic Pantyhose Lido ""XL"""
PD000000472,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Euro ""S""",BGT LC Organic Pantyhose Euro,"BGT LC Organic Pantyhose Euro ""S"""
PD000000473,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Euro ""M""",BGT LC Organic Pantyhose Euro,"BGT LC Organic Pantyhose Euro ""M"""
PD000000474,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Euro ""L""",BGT LC Organic Pantyhose Euro,"BGT LC Organic Pantyhose Euro ""L"""
PD000000475,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Euro ""XL""",BGT LC Organic Pantyhose Euro,"BGT LC Organic Pantyhose Euro ""XL"""
PD000000476,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Black ""S""",BGT LC Organic Pantyhose Black,"BGT LC Organic Pantyhose Black ""S"""
PD000000477,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Black ""M""",BGT LC Organic Pantyhose Black,"BGT LC Organic Pantyhose Black ""M"""
PD000000478,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Black ""L""",BGT LC Organic Pantyhose Black,"BGT LC Organic Pantyhose Black ""L"""
PD000000479,BGT,Organic Pantyhose,"BGT LC Organic Pantyhose Black ""XL""",BGT LC Organic Pantyhose Black,"BGT LC Organic Pantyhose Black ""XL"""
PD000000480,BGT,HC Pantyhose,"BGT Topwish HC Pantyhose Lido ""XL""",BGT Topwish HC Pantyhose Lido,"BGT Topwish HC Pantyhose Lido ""XL"""
PD000000481,BGT,HC Pantyhose,"BGT Topwish HC Pantyhose Black ""S""",BGT Topwish HC Pantyhose Black,"BGT Topwish HC Pantyhose Black ""S"""
PD000000482,BGT,HC Pantyhose,"BGT Topwish HC Pantyhose Black ""M""",BGT Topwish HC Pantyhose Black,"BGT Topwish HC Pantyhose Black ""M"""
PD000000483,BGT,HC Pantyhose,"BGT Topwish HC Pantyhose Black ""L""",BGT Topwish HC Pantyhose Black,"BGT Topwish HC Pantyhose Black ""L"""
PD000000484,BGT,HC Pantyhose,"BGT Topwish HC Pantyhose Black ""XL""",BGT Topwish HC Pantyhose Black,"BGT Topwish HC Pantyhose Black ""XL"""
PD000000485,BGT,NC Pantyhose,"BGT Topwish NC Pantyhose Lido ""S""",BGT Topwish NC Pantyhose Lido,"BGT Topwish NC Pantyhose Lido ""S"""
PD000000486,BGT,NC Pantyhose,"BGT Topwish NC Pantyhose Lido ""M""",BGT Topwish NC Pantyhose Lido,"BGT Topwish NC Pantyhose Lido ""M"""
PD000000487,BGT,NC Pantyhose,"BGT Topwish NC Pantyhose Lido ""L""",BGT Topwish NC Pantyhose Lido,"BGT Topwish NC Pantyhose Lido ""L"""
PD000000488,BGT,NC Pantyhose,"BGT Topwish NC Pantyhose Lido ""XL""",BGT Topwish NC Pantyhose Lido,"BGT Topwish NC Pantyhose Lido ""XL"""
PD000000489,Taiwan,Fullinsole,"TW Full-Length Insole "" 36 """,TW Full-Length Insole ,"TW Full-Length Insole "" 36 """
PD000000490,Taiwan,Fullinsole,"TW Full-Length Insole "" 38 """,TW Full-Length Insole ,"TW Full-Length Insole "" 38 """
PD000000491,Taiwan,Fullinsole,"TW Full-Length Insole "" 40 """,TW Full-Length Insole ,"TW Full-Length Insole "" 40 """
PD000000492,Taiwan,Fullinsole,"TW Full-Length Insole "" 42 """,TW Full-Length Insole ,"TW Full-Length Insole "" 42 """
PD000000493,Taiwan,Fullinsole,"TW Full-Length Insole "" 44 """,TW Full-Length Insole ,"TW Full-Length Insole "" 44 """
PD000000494,Taiwan,Heel Cup,"TW Heel Cup ""M""",TW Heel Cup,"TW Heel Cup ""M"""
PD000000495,Taiwan,Heel Cup,"TW Heel Cup ""L""",TW Heel Cup,"TW Heel Cup ""L"""
PD000000496,Taiwan,3/4 Insole,"TW 3/4 Length Insole ""S""",TW 3/4 Length Insole ,"TW 3/4 Length Insole ""S"""
PD000000497,Taiwan,3/4 Insole,"TW 3/4 Length Insole ""M""",TW 3/4 Length Insole ,"TW 3/4 Length Insole ""M"""
PD000000498,Taiwan,3/4 Insole,"TW 3/4 Length Insole ""L""",TW 3/4 Length Insole ,"TW 3/4 Length Insole ""L"""
PD000000499,Taiwan,3/4 Insole,"TW 3/4 Length Insole ""XL""",TW 3/4 Length Insole ,"TW 3/4 Length Insole ""XL"""
PD000000500,Askle,Cushion,Askle Kineris Wheelchair Cushion (8x8 cells) 7cm,Askle Kineris Wheelchair Cushion,Askle Kineris Wheelchair Cushion (8x8 cells) 7cm
PD000000501,Askle,Cushion,Askle Kineris Wheelchair Cushion (8x8 cells) 10cm,Askle Kineris Wheelchair Cushion,Askle Kineris Wheelchair Cushion (8x8 cells) 10cm
PD000000502,Askle,Cushion,Askle Kineris Wheelchair Cushion (9x9 cells) 7cm,Askle Kineris Wheelchair Cushion,Askle Kineris Wheelchair Cushion (9x9 cells) 7cm
PD000000503,Askle,Cushion,Askle Kineris Wheelchair Cushion (8x9 cells) 7cm,Askle Kineris Wheelchair Cushion,Askle Kineris Wheelchair Cushion (8x9 cells) 7cm
PD000000504,3A,Atomizer,3A Atomizer,3A Atomizer,3A Atomizer
PD000000505,Takale,Optional Part,Takale 電療拖鞋,Takale 電療拖鞋,Takale 電療拖鞋
PD000000506,Takale,Massage machine,Takale #CY-819 Leg Massage Fairy,Takale #CY-819 Leg Massage Fairy,Takale #CY-819 Leg Massage Fairy
PD000000507,Takale,Massage machine,Takale #CY-169 舒之健 Rotating Point Massage,Takale #CY-169 舒之健 Rotating Point Massage,Takale #CY-169 舒之健 Rotating Point Massage
PD000000508,Takale,Massage machine,Takale #CY-718 Dolphin Fairy,Takale #CY-718 Dolphin Fairy,Takale #CY-718 Dolphin Fairy
PD000000509,Takale,Massage machine,Takale #TB-201 Rolling Message Bed,Takale #TB-201 Rolling Message Bed,Takale #TB-201 Rolling Message Bed
PD000000510,Takale,Optional Part,Takale 旋轉指壓球護套,Takale 旋轉指壓球護套,Takale 旋轉指壓球護套
PD000000511,Takale,Massage machine,Takale Spine Align Equipment,Takale Spine Align Equipment,Takale Spine Align Equipment
PD000000512,Takale,Massage machine,Takale #CY-169L 足之康保健儀,Takale #CY-169L 足之康保健儀,Takale #CY-169L 足之康保健儀
PD000000513,Takale,Massage machine,Takale #CY-106 Health Oxy-twistst Device,Takale #CY-106 Health Oxy-twistst Device,Takale #CY-106 Health Oxy-twistst Device
PD000000514,寶生,O3,寶生 #990- B Air Disinfector,Air Disinfector,寶生 #990- B Air Disinfector
PD000000515,EZ-Com,O3,EZ-Com 易立康 #EA-8705 純O3生氧機,EZ-Com 易立康 #EA-8705,EZ-Com 易立康 #EA-8705 純O3生氧機
PD000000516,EZ-Com,O3,EZ-Com 可利淨 #SW-2000/T 活氧機,EZ-Com 可利淨,EZ-Com 可利淨 #SW-2000/T 活氧機
PD000000517,Pals,Gel Pad,Pals #896 240 Gel Pad Oval (5 x 10 cm) 4pcs,Pals Gel Pad Oval,Pals #896 240 Gel Pad Oval (5 x 10 cm) 4pcs
PD000000518,Pals,Gel Pad,Pals #896 350 Gel Pad Oval (8 x 13 cm) 2pcs,Pals Gel Pad Oval,Pals #896 350 Gel Pad Oval (8 x 13 cm) 2pcs
PD000000519,Pals,Gel Pad,Pals #895 250 Gel Pad Rectangle (5 x 13 cm) 2pcs,Pals Gel Pad Rectangle,Pals #895 250 Gel Pad Rectangle (5 x 13 cm) 2pcs
PD000000520,Pals,Gel Pad,Pals #895 340 Gel Pad Rectangle (8 x 10 cm) 2pcs,Pals Gel Pad Rectangle,Pals #895 340 Gel Pad Rectangle (8 x 10 cm) 2pcs
PD000000521,Pals,Gel Pad,Pals #879 200 Gel Pad Round (50 mm) 4pcs,Pals Gel Pad Round,Pals #879 200 Gel Pad Round (50 mm) 4pcs
PD000000522,Pals,Gel Pad,Pals #879 300 Gel Pad Round (70 mm) 4pcs,Pals Gel Pad Round,Pals #879 300 Gel Pad Round (70 mm) 4pcs
PD000000523,Pals,Gel Pad,Pals #896 230 Gel Pad Oval (4 x 6 cm) 4pcs,Pals Gel Pad Oval,Pals #896 230 Gel Pad Oval (4 x 6 cm) 4pcs
PD000000524,Pals,Gel Pad,Pals #879 100 Gel Pad Round (3.2cm) 4 pcs,Pals Gel Pad Round,Pals #879 100 Gel Pad Round (3.2cm) 4 pcs
PD000000525,Pals,Gel Pad,Pals #J10 R00 Gel Pad Round (25mm) 4 pcs,Pals Gel Pad Round,Pals #J10 R00 Gel Pad Round (25mm) 4 pcs
PD000000526,Pals,Gel Pad,"Pals #SEN 5001 Gel Pad (0.9 x 1.1"") Little Pad",Pals Gel Pad,"Pals #SEN 5001 Gel Pad (0.9 x 1.1"") Little Pad"
PD000000527,Pals,Gel Pad,Pals #895 220 Gel Pad Square (5 x 5 cm)4 Pcs,Pals Gel Pad Square,Pals #895 220 Gel Pad Square (5 x 5 cm)4 Pcs
PD000000528,Pals,Gel Pad,Pals #SN2040 UltraStimRect. (5 x 10cm)4pcs,Pals UltraStimRect,Pals #SN2040 UltraStimRect. (5 x 10cm)4pcs
PD000000529,chattanooga,Hot & Cold Pad,"Chattanooga Flexi Pac #4026 Hot Cold Pad ""S""",Chattanooga Flexi Pac #4026,"Chattanooga Flexi Pac #4026 Hot Cold Pad ""S"""
